GO.ID,Term,Annotated,Significant,Expected,raw.p.value,ontology,p_bon,uniform_log,p_log,rank,label,upper,lower,dataset
GO:0033148,positive regulation of intracellular est...,8,2,0.12,0.00536,BP,0.36984,3.023157452272286,0.4319861195699747,20,,3.22617293112247,2.8409747007163846,SRR6998058_v2
GO:0044829,positive regulation by host of viral gen...,8,2,0.12,0.00536,BP,0.36984,3.00143820257905,0.4319861195699747,21,,3.1991971303509428,2.8235119371578348,SRR6998058_v2
GO:0044666,MLL3/4 complex,8,2,0.12,0.00567,CC,0.39122999999999997,2.980753603719199,0.4075678503698381,22,,3.173637205643953,2.80679436405758,SRR6998058_v2
GO:0000290,deadenylation-dependent decapping of nuc...,9,2,0.13,0.00683,BP,0.47127,2.9610095455234418,0.3267302055812121,23,,3.1493553725283956,2.790759472293384,SRR6998058_v2
GO:0030259,lipid glycosylation,9,2,0.13,0.00683,BP,0.47127,2.9421242013630677,0.3267302055812121,24,,3.1262328035881444,2.7753523912408133,SRR6998058_v2
GO:0072091,regulation of stem cell proliferation,44,3,0.64,0.00841,BP,0.5802900000000001,2.924025979270272,0.23635491346483245,25,,3.104166326338444,2.760524684386246,SRR6998058_v2
GO:1990403,embryonic brain development,10,2,0.14,0.00846,BP,0.58374,2.906651883200849,0.2337805462237211,26,,3.08306580690508,2.7462333744120015,SRR6998058_v2
GO:0043652,engulfment of apoptotic cell,10,2,0.14,0.00846,BP,0.58374,2.889946189697996,0.2337805462237211,27,,3.0628520559514394,2.732440147037969,SRR6998058_v2
GO:0035264,multicellular organism growth,155,9,2.24,0.00898,BP,0.6196200000000001,2.8738593698045416,0.20787457259544026,28,,3.043455136954946,2.7191106955495754,SRR6998058_v2
GO:0031748,D1 dopamine receptor binding,10,2,0.15,0.0091,MF,0.6279,2.858347203626294,0.20210951694165108,29,,3.0248129877883896,2.7062141771006614,SRR6998058_v2
GO:0051020,GTPase binding,435,7,6.52,0.0091,MF,0.6279,2.843370047656641,0.20210951694165108,30,,3.00687028868037,2.6937227585991463,SRR6998058_v2
GO:0004984,olfactory receptor activity,30,3,0.45,0.0097,MF,0.6693,2.828892224288018,0.17437917499649983,31,,2.9895775256953865,2.68161123497178,SRR6998058_v2
GO:0001228,DNA-binding transcription activator acti...,241,9,3.61,0.0097,MF,0.6693,2.8148815098452036,0.17437917499649983,32,,2.972890210686821,2.6698567063485896,SRR6998058_v2
GO:0005856,cytoskeleton,1539,32,22.88,0.00975,CC,0.67275,2.8013087026559296,0.17214629356420788,33,,2.956768227459593,2.6584383035469035,SRR6998058_v2
GO:1902004,positive regulation of amyloid-beta form...,11,2,0.16,0.01024,BP,0.7065600000000001,2.788147256597959,0.1508509526229327,34,,2.941175280479102,2.647336953408281,SRR6998058_v2
GO:0035255,ionotropic glutamate receptor binding,31,3,0.46,0.0106,MF,0.7314,2.77537296856153,0.1358450439979744,35,,2.9260784274706526,2.6365351772203174,SRR6998058_v2
GO:0043034,costamere,11,2,0.16,0.01083,CC,0.74727,2.7629637105797102,0.12652245263742434,36,,2.9114476810877528,2.6260169167624157,SRR6998058_v2
GO:0010875,positive regulation of cholesterol efflu...,12,2,0.17,0.01218,BP,0.84042,2.7508991991783294,0.07550362096588815,37,,2.8972556677885803,2.6157673835405135,SRR6998058_v2
GO:0048813,dendrite morphogenesis,122,5,1.76,0.01222,BP,0.84318,2.739160795907085,0.07407970335620924,38,,2.883477334364761,2.6057729275867034,SRR6998058_v2
GO:0035307,positive regulation of protein dephospho...,34,3,0.49,0.01237,BP,0.85353,2.7277313341263034,0.06878120963362402,39,,2.8700896943742777,2.5960209228451783,SRR6998058_v2
GO:0031588,nucleotide-activated protein kinase comp...,12,2,0.18,0.01287,CC,0.88803,2.716594968008344,0.051572362358358007,40,,2.8570716081581873,2.586499666683068,SRR6998058_v2
GO:0042405,nuclear inclusion body,12,2,0.18,0.01287,CC,0.88803,2.7057370404201357,0.051572362358358007,41,,2.844403591256151,2.577198291481559,SRR6998058_v2
GO:0004535,poly(A)-specific ribonuclease activity,12,2,0.18,0.0131,MF,0.9039,2.6951439669227115,0.04387961360698041,42,,2.8320676469443145,2.5681066866005895,SRR6998058_v2
GO:0043198,dendritic shaft,34,3,0.51,0.01337,CC,0.92253,2.6848031335844924,0.03501950200076033,43,,2.8200471193503622,2.559215429285877,SRR6998058_v2
GO:0042149,cellular response to glucose starvation,35,3,0.51,0.01339,BP,0.92391,2.674702806680167,0.034370332250735706,44,,2.8083265641926465,2.5505157233127282,SRR6998058_v2
GO:0002693,positive regulation of cellular extravas...,18,3,0.26,0.01411,BP,0.97359,2.6648320526538725,0.01162389550839687,45,,2.7968916346721286,2.5419993443469338,SRR6998058_v2
GO:0045647,negative regulation of erythrocyte diffe...,13,2,0.19,0.01426,BP,0.98394,2.655180666977692,0.007031383746897914,46,,2.7857289804401018,2.533658591156804,SRR6998058_v2
GO:0021956,central nervous system interneuron axono...,1,1,0.01,0.01428,BP,0.98532,2.6457391107448505,0.006422701822589108,47,,2.774826157888694,2.5254862419381845,SRR6998058_v2
GO:0051884,regulation of timing of anagen,1,1,0.01,0.01428,BP,0.98532,2.6364984540099377,0.006422701822589108,48,,2.764171550278807,2.517475515120911,SRR6998058_v2
GO:1904924,negative regulation of mitophagy in resp...,1,1,0.01,0.01428,BP,0.98532,2.6274503250325405,0.006422701822589108,49,,2.7537542964421275,2.509620034114537,SRR6998058_v2
GO:0005989,lactose biosynthetic process,1,1,0.01,0.01428,BP,0.98532,2.6185868647012356,0.006422701822589108,50,,2.7435642269788056,2.501913795526324,SRR6998058_v2
GO:0038018,Wnt receptor catabolic process,1,1,0.01,0.01428,BP,0.98532,2.6099006855161426,0.006422701822589108,51,,2.7335918070270635,2.4943511404479604,SRR6998058_v2
GO:0010189,vitamin E biosynthetic process,1,1,0.01,0.01428,BP,0.98532,2.6013848345936132,0.006422701822589108,52,,2.7238280848108727,2.486926728461265,SRR6998058_v2
GO:0051621,regulation of norepinephrine uptake,1,1,0.01,0.01428,BP,0.98532,2.5930327602288474,0.006422701822589108,53,,2.714264645281301,2.479635514058851,SRR6998058_v2
GO:1904300,positive regulation of transcytosis,1,1,0.01,0.01428,BP,0.98532,2.5848382816135755,0.006422701822589108,54,,2.704893568259666,2.472472725214745,SRR6998058_v2
GO:1904303,positive regulation of maternal process ...,1,1,0.01,0.01428,BP,0.98532,2.576795561358162,0.006422701822589108,55,,2.695707390569223,2.465433843873345,SRR6998058_v2
GO:0097022,lymphocyte migration into lymph node,1,1,0.01,0.01428,BP,0.98532,2.568899080512128,0.006422701822589108,56,,2.6866990717089405,2.458514588153744,SRR6998058_v2
GO:2000330,positive regulation of T-helper 17 cell ...,1,1,0.01,0.01428,BP,0.98532,2.5611436158153658,0.006422701822589108,57,,2.677861962680085,2.451710896091128,SRR6998058_v2
GO:1901194,negative regulation of formation of tran...,1,1,0.01,0.01428,BP,0.98532,2.553524218945174,0.006422701822589108,58,,2.669189777625218,2.4450189107582365,SRR6998058_v2
GO:1900062,regulation of replicative cell aging,1,1,0.01,0.01428,BP,0.98532,2.5460361975526236,0.006422701822589108,59,,2.6606765679812683,2.43843496662833,SRR6998058_v2
GO:1905672,negative regulation of lysosome organiza...,1,1,0.01,0.01428,BP,0.98532,2.5386750979062547,0.006422701822589108,60,,2.6523166988845475,2.4319555770570704,SRR6998058_v2
GO:0003340,negative regulation of mesenchymal to ep...,1,1,0.01,0.01428,BP,0.98532,2.5314366889823354,0.006422701822589108,61,,2.6441048275968555,2.4255774227746736,SRR6998058_v2
GO:0003342,proepicardium development,1,1,0.01,0.01428,BP,0.98532,2.5243169478593876,0.006422701822589108,62,,2.6360358837489315,2.4192973412918035,SRR6998058_v2
GO:1902943,positive regulation of voltage-gated chl...,1,1,0.01,0.01428,BP,0.98532,2.517312046290729,0.006422701822589108,63,,2.6281050512210054,2.413112317133304,SRR6998058_v2
GO:1904173,regulation of histone demethylase activi...,1,1,0.01,0.01428,BP,0.98532,2.5104183383428285,0.006422701822589108,64,,2.6203077515007087,2.407019472823147,SRR6998058_v2
GO:0010868,negative regulation of triglyceride bios...,1,1,0.01,0.01428,BP,0.98532,2.5036323489995365,0.006422701822589108,65,,2.61263962837645,2.4010160605521502,SRR6998058_v2
GO:0036023,embryonic skeletal limb joint morphogene...,1,1,0.01,0.01428,BP,0.98532,2.4969507636430213,0.006422701822589108,66,,2.605096533839979,2.3950994544671884,SRR6998058_v2
GO:0060983,epicardium-derived cardiac vascular smoo...,1,1,0.01,0.01428,BP,0.98532,2.4903704183316995,0.006422701822589108,67,,2.597674515085567,2.389267143526962,SRR6998058_v2
GO:0072749,cellular response to cytochalasin B,1,1,0.01,0.01428,BP,0.98532,2.483888290803779,0.006422701822589108,68,,2.590369802505232,2.383516724874975,SRR6998058_v2
GO:0040032,post-embryonic body morphogenesis,1,1,0.01,0.01428,BP,0.98532,2.4775014921423786,0.006422701822589108,69,,2.5831787985900294,2.3778458976853263,SRR6998058_v2
GO:0061741,chaperone-mediated protein transport inv...,1,1,0.01,0.01428,BP,0.98532,2.4712072590446903,0.006422701822589108,70,,2.57609806765675,2.372252457441321,SRR6998058_v2
GO:1904793,regulation of euchromatin binding,1,1,0.01,0.01428,BP,0.98532,2.4650029466434056,0.006422701822589108,71,,2.5691243263276067,2.3667342906107853,SRR6998058_v2
GO:1904764,chaperone-mediated autophagy translocati...,1,1,0.01,0.01428,BP,0.98532,2.4588860218337234,0.006422701822589108,72,,2.5622544346977856,2.3612893696854615,SRR6998058_v2
GO:0048625,myoblast fate commitment,1,1,0.01,0.01428,BP,0.98532,2.4528540570638104,0.006422701822589108,73,,2.5554853881322024,2.355915748554949,SRR6998058_v2
GO:0021831,embryonic olfactory bulb interneuron pre...,1,1,0.01,0.01428,BP,0.98532,2.4469047245506093,0.006422701822589108,74,,2.5488143096385545,2.3506115581884095,SRR6998058_v2
GO:1990832,slow axonal transport,1,1,0.01,0.01428,BP,0.98532,2.4410357908865112,0.006422701822589108,75,,2.5422384427688542,2.3453750025997397,SRR6998058_v2
GO:0097403,cellular response to raffinose,1,1,0.01,0.01428,BP,0.98532,2.435245112005616,0.006422701822589108,76,,2.535755145006212,2.3402043550741243,SRR6998058_v2
GO:0060492,lung induction,1,1,0.01,0.01428,BP,0.98532,2.4295306284811864,0.006422701822589108,77,,2.52936188159767,2.335097954635859,SRR6998058_v2
GO:0070564,positive regulation of vitamin D recepto...,1,1,0.01,0.01428,BP,0.98532,2.423890361128494,0.006422701822589108,78,,2.5230562197975566,2.3300542027391313,SRR6998058_v2
GO:1904592,positive regulation of protein refolding,1,1,0.01,0.01428,BP,0.98532,2.4183224068895517,0.006422701822589108,79,,2.516835823489059,2.325071560165045,SRR6998058_v2
GO:2000821,regulation of grooming behavior,1,1,0.01,0.01428,BP,0.98532,2.412824934978334,0.006422701822589108,80,,2.510698448154653,2.320148544109614,SRR6998058_v2
GO:0045976,negative regulation of mitotic cell cycl...,1,1,0.01,0.01428,BP,0.98532,2.4073961832669357,0.006422701822589108,81,,2.5046419361686367,2.315283725448773,SRR6998058_v2
GO:1904501,positive regulation of chromatin-mediate...,1,1,0.01,0.01428,BP,0.98532,2.4020344548948276,0.006422701822589108,82,,2.498664212387384,2.3104757261676108,SRR6998058_v2
GO:1901631,positive regulation of presynaptic membr...,1,1,0.01,0.01428,BP,0.98532,2.396738115084879,0.006422701822589108,83,,2.4927632800150463,2.3057232169421145,SRR6998058_v2
GO:0072053,renal inner medulla development,1,1,0.01,0.01428,BP,0.98532,2.391505588151202,0.006422701822589108,84,,2.4869372167243604,2.3010249148626714,SRR6998058_v2
GO:0072054,renal outer medulla development,1,1,0.01,0.01428,BP,0.98532,2.386335354685112,0.006422701822589108,85,,2.481184171013939,2.296379581289447,SRR6998058_v2
GO:0097753,membrane bending,1,1,0.01,0.01428,BP,0.98532,2.3812259489066316,0.006422701822589108,86,,2.475502358784985,2.291786019830566,SRR6998058_v2
GO:0009443,pyridoxal 5'-phosphate salvage,1,1,0.01,0.01428,BP,0.98532,2.3761759561699898,0.006422701822589108,87,,2.469890060121798,2.287243074434726,SRR6998058_v2
GO:0043195,terminal bouton,35,3,0.52,0.01447,CC,0.99843,2.371184010612491,6.823781437071954e-4,88,,2.464345616261709,2.2827496275905514,SRR6998058_v2
GO:0006753,nucleoside phosphate metabolic process,442,4,6.39,0.01458,BP,1,2.366248792936979,-0,89,,2.4588674267412527,2.2783045986255814,SRR6998058_v2
GO:1905370,serine-type endopeptidase complex,1,1,0.01,0.0147,CC,1,2.3613690283188924,-0,90,,2.4534539467064422,2.2739069420983333,SRR6998058_v2
GO:0098894,extrinsic component of presynaptic endoc...,1,1,0.01,0.0147,CC,1,2.3565434844296007,-0,91,,2.4481036843759822,2.2695556462773854,SRR6998058_v2
GO:0097109,neuroligin family protein binding,1,1,0.01,0.0148,MF,1,2.351770969568356,-0,92,,2.442815198647108,2.2652497317018776,SRR6998058_v2
GO:0035538,carbohydrate response element binding,1,1,0.01,0.0148,MF,1,2.3470503308957715,-0,93,,2.4375870968345685,2.2609882498182436,SRR6998058_v2
GO:0003947,(N-acetylneuraminyl)-galactosylglucosylc...,1,1,0.01,0.0148,MF,1,2.3423804527622862,-0,94,,2.4324180325339766,2.2567702816883752,SRR6998058_v2
GO:0004992,platelet activating factor receptor acti...,1,1,0.01,0.0148,MF,1,2.3377602551255414,-0,95,,2.427306703601421,2.252594936764754,SRR6998058_v2
GO:0070463,tubulin-dependent ATPase activity,1,1,0.01,0.0148,MF,1,2.333188692051058,-0,96,,2.4222518502418517,2.2484613517284355,SRR6998058_v2
GO:1904593,prostaglandin binding,1,1,0.01,0.0148,MF,1,2.328664750291012,-0,97,,2.4172522531992957,2.244368689386033,SRR6998058_v2
GO:0008478,pyridoxal kinase activity,1,1,0.01,0.0148,MF,1,2.3241874479362674,-0,98,,2.412306732042473,2.240316137622142,SRR6998058_v2
GO:0070280,pyridoxal binding,1,1,0.01,0.0148,MF,1,2.3197558331371924,-0,99,,2.4074141435398597,2.236302908403889,SRR6998058_v2
GO:0047844,deoxycytidine deaminase activity,1,1,0.01,0.0148,MF,1,2.315368982889079,-0,100,,2.4025733801186595,2.2323282368345114,SRR6998058_v2
GO:0004461,lactose synthase activity,1,1,0.01,0.0148,MF,1,2.3110260018782967,-0,101,,2.3977833684025507,2.2283913802531026,SRR6998058_v2
GO:0034041,sterol-transporting ATPase activity,1,1,0.01,0.0148,MF,1,2.3067260213855723,-0,102,,2.3930430678234345,2.2244916173778293,SRR6998058_v2
GO:1990833,clathrin-uncoating ATPase activity,1,1,0.01,0.0148,MF,1,2.302468198243031,-0,103,,2.388351469302745,2.220628247490129,SRR6998058_v2
GO:0031812,P2Y1 nucleotide receptor binding,1,1,0.01,0.0148,MF,1,2.2982517138418674,-0,104,,2.3837075939981824,2.2168005896575553,SRR6998058_v2
GO:0051430,corticotropin-releasing hormone receptor...,1,1,0.01,0.0148,MF,1,2.2940757731877315,-0,105,,2.3791104921120296,2.2130079819930804,SRR6998058_v2
GO:0030838,positive regulation of actin filament po...,74,5,1.07,0.01634,BP,1,2.2899396040010926,-0,106,,2.374559241757451,2.2092497809488294,SRR6998058_v2
GO:0044291,cell-cell contact zone,52,3,0.77,0.01732,CC,1,2.2858424558600476,-0,107,,2.370052947879438,2.2055253606423304,SRR6998058_v2
GO:0030122,AP-2 adaptor complex,14,2,0.21,0.0174,CC,1,2.28178359938318,-0,108,,2.3655907412272708,2.2018341122135032,SRR6998058_v2
GO:0017124,SH3 domain binding,102,5,1.53,0.0177,MF,1,2.2777623254502557,-0,109,,2.361171777375578,2.1981754432107143,SRR6998058_v2
GO:0042475,odontogenesis of dentin-containing tooth,39,3,0.56,0.01795,BP,1,2.273777944458667,-0,110,,2.3567952357912687,2.1945487770043277,SRR6998058_v2
GO:0048268,clathrin coat assembly,15,2,0.22,0.01884,BP,1,2.2698297856136747,-0,111,,2.352460318943789,2.190953552226296,SRR6998058_v2
GO:0045669,positive regulation of osteoblast differ...,40,3,0.58,0.0192,BP,1,2.2659171962506246,-0,112,,2.3481662514563055,2.187389222234397,SRR6998058_v2
GO:0001726,ruffle,123,5,1.83,0.01941,CC,1,2.262039541187423,-0,113,,2.343912279295596,2.1838552545998438,SRR6998058_v2
GO:0006606,protein import into nucleus,124,6,1.79,0.01986,BP,1,2.2581962021056627,-0,114,,2.339697668998538,2.1803511306170327,SRR6998058_v2
GO:0031681,G-protein beta-subunit binding,15,2,0.22,0.0202,MF,1,2.2543865769588973,-0,115,,2.335521706933245,2.1768763448343087,SRR6998058_v2
GO:0005385,zinc ion transmembrane transporter activ...,15,2,0.22,0.0202,MF,1,2.2506100794066413,-0,116,,2.3313836985929948,2.173430404604658,SRR6998058_v2
GO:0042975,peroxisome proliferator activated recept...,15,2,0.22,0.0202,MF,1,2.2468661382727664,-0,117,,2.3272829679212363,2.1700128296553287,SRR6998058_v2
GO:1990381,ubiquitin-specific protease binding,15,2,0.22,0.0202,MF,1,2.243154197027049,-0,118,,2.323218856666038,2.1666231516754255,SRR6998058_v2
GO:0007608,sensory perception of smell,41,3,0.59,0.02051,BP,1,2.2394737132886817,-0,119,,2.3191907237624605,2.1632609139205834,SRR6998058_v2
GO:0030331,estrogen receptor binding,40,3,0.6,0.0211,MF,1,2.2358241583506477,-0,120,,2.3151979447414166,2.1599256708338834,SRR6998058_v2
GO:0071577,zinc ion transmembrane transport,16,2,0.23,0.021329999999999998,BP,1,2.232205016723917,-0,121,,2.311239911163669,2.1566169876822054,SRR6998058_v2
GO:0035116,embryonic hindlimb morphogenesis,16,2,0.23,0.021329999999999998,BP,1,2.228615785700473,-0,122,,2.3073160300776987,2.1533344402072476,SRR6998058_v2
GO:0032959,inositol trisphosphate biosynthetic proc...,16,2,0.23,0.021329999999999998,BP,1,2.225055974934253,-0,123,,2.3034257235002418,2.150077614290594,SRR6998058_v2
GO:0071157,negative regulation of cell cycle arrest,16,2,0.23,0.021329999999999998,BP,1,2.2215251060391195,-0,124,,2.2995684279183783,2.1468461056320276,SRR6998058_v2
GO:0051496,positive regulation of stress fiber asse...,42,3,0.61,0.02186,BP,1,2.218022712203049,-0,125,,2.2957435938121025,2.1436395194405566,SRR6998058_v2
GO:0019901,protein kinase binding,595,17,8.92,0.0219,MF,1,2.2145483378177473,-0,126,,2.2919506851963765,2.140457470137555,SRR6998058_v2
GO:0022627,cytosolic small ribosomal subunit,41,3,0.61,0.02211,CC,1,2.2111015381229673,-0,127,,2.2881891791817255,2.1372995810713564,SRR6998058_v2
GO:0050998,nitric-oxide synthase binding,16,2,0.24,0.0229,MF,1,2.2076818788648302,-0,128,,2.2844585655524754,2.1341654842429296,SRR6998058_v2
GO:0042733,embryonic digit morphogenesis,44,3,0.64,0.0247,BP,1,2.2042889359674906,-0,129,,2.2807583463618,2.1310548200419395,SRR6998058_v2
GO:0008139,nuclear localization sequence binding,17,2,0.25,0.0257,MF,1,2.2009222952175334,-0,130,,2.277088035542773,2.1279672369929106,SRR6998058_v2
GO:0005109,frizzled binding,17,2,0.25,0.0257,MF,1,2.1975815519605044,-0,131,,2.273447158534679,2.1249023915108816,SRR6998058_v2
GO:0021915,neural tube development,129,5,1.86,0.02627,BP,1,2.1942663108090277,-0,132,,2.269835251923868,2.1218599476661923,SRR6998058_v2
GO:0009991,response to extracellular stimulus,266,10,3.84,0.02745,BP,1,2.1909761853619774,-0,133,,2.2662518630984856,2.1188395769580155,SRR6998058_v2
GO:0045136,development of secondary sexual characte...,10,2,0.14,0.02821,BP,1,2.1877107979342103,-0,134,,2.262696549916435,2.1158409580962156,SRR6998058_v2
GO:1904028,positive regulation of collagen fibril o...,2,1,0.03,0.02836,BP,1,2.184469779296377,-0,135,,2.259168880385973,2.112863776791135,SRR6998058_v2
GO:0043382,positive regulation of memory T cell dif...,2,1,0.03,0.02836,BP,1,2.18125276842438,-0,136,,2.255668432358366,2.109907725551069,SRR6998058_v2
GO:1904000,positive regulation of eating behavior,2,1,0.03,0.02836,BP,1,2.1780594122580292,-0,137,,2.2521947932320665,2.10697250348697,SRR6998058_v2
GO:0071279,cellular response to cobalt ion,2,1,0.03,0.02836,BP,1,2.174889365468523,-0,138,,2.2487475596678945,2.1040578161241488,SRR6998058_v2
GO:0033633,negative regulation of cell-cell adhesio...,2,1,0.03,0.02836,BP,1,2.171742290234337,-0,139,,2.245326337314738,2.1011633752206835,SRR6998058_v2
GO:0007403,glial cell fate determination,2,1,0.03,0.02836,BP,1,2.168617856025188,-0,140,,2.2419307405453113,2.098288898592166,SRR6998058_v2
GO:0001555,oocyte growth,2,1,0.03,0.02836,BP,1,2.1655157393937055,-0,141,,2.2385603922015296,2.095434109942655,SRR6998058_v2
GO:0061324,canonical Wnt signaling pathway involved...,2,1,0.03,0.02836,BP,1,2.162435623774495,-0,142,,2.2352149233490892,2.092598738701408,SRR6998058_v2
GO:0006663,platelet activating factor biosynthetic ...,2,1,0.03,0.02836,BP,1,2.159377199290275,-0,143,,2.231893973040852,2.0897825198653392,SRR6998058_v2
GO:1904395,positive regulation of skeletal muscle a...,2,1,0.03,0.02836,BP,1,2.156340162564793,-0,144,,2.228597188088658,2.086985193846788,SRR6998058_v2
GO:1904306,positive regulation of gastro-intestinal...,2,1,0.03,0.02836,BP,1,2.1533242165422375,-0,145,,2.2253242228432186,2.084206506326521,SRR6998058_v2
GO:0090673,endothelial cell-matrix adhesion,2,1,0.03,0.02836,BP,1,2.150329070312878,-0,146,,2.2220747389817355,2.081446208111682,SRR6998058_v2
GO:0072104,glomerular capillary formation,2,1,0.03,0.02836,BP,1,2.147354438944676,-0,147,,2.218848405302933,2.0787040549985036,SRR6998058_v2
GO:0032275,luteinizing hormone secretion,2,1,0.03,0.02836,BP,1,2.1444000433206223,-0,148,,2.215644897529194,2.075979807639588,SRR6998058_v2
GO:0060066,oviduct development,2,1,0.03,0.02836,BP,1,2.141465609981573,-0,149,,2.212463898115505,2.0732732314156155,SRR6998058_v2
GO:1902963,negative regulation of metalloendopeptid...,2,1,0.03,0.02836,BP,1,2.1385508709743557,-0,150,,2.2093050960649316,2.0705840963112148,SRR6998058_v2
GO:1905675,negative regulation of adaptive immune m...,2,1,0.03,0.02836,BP,1,2.135655563704942,-0,151,,2.2061681867503578,2.067912176794944,SRR6998058_v2
GO:0140212,regulation of long-chain fatty acid impo...,2,1,0.03,0.02836,BP,1,2.1327794307964805,-0,152,,2.203052871742241,2.0652572517031302,SRR6998058_v2
GO:0032707,negative regulation of interleukin-23 pr...,2,1,0.03,0.02836,BP,1,2.1299222199519994,-0,153,,2.1999588586421344,2.06261910412747,SRR6998058_v2
GO:0090035,positive regulation of chaperone-mediate...,2,1,0.03,0.02836,BP,1,2.1270836838215987,-0,154,,2.196885860921752,2.0599975213062294,SRR6998058_v2
GO:0046104,thymidine metabolic process,2,1,0.03,0.02836,BP,1,2.1242635798739506,-0,155,,2.1938335977673553,2.057392294518886,SRR6998058_v2
GO:0061740,protein targeting to lysosome involved i...,2,1,0.03,0.02836,BP,1,2.1214616702719478,-0,156,,2.190801793929248,2.0548032189841425,SRR6998058_v2
GO:0021894,cerebral cortex GABAergic interneuron de...,2,1,0.03,0.02836,BP,1,2.118677721752337,-0,157,,2.187790179576189,2.052230093761112,SRR6998058_v2
GO:1902340,negative regulation of chromosome conden...,2,1,0.03,0.02836,BP,1,2.115911505509185,-0,158,,2.1847984901545194,2.049672721653586,SRR6998058_v2
GO:0038116,chemokine (C-C motif) ligand 21 signalin...,2,1,0.03,0.02836,BP,1,2.113162797081034,-0,159,,2.1818264662518354,2.047130909117307,SRR6998058_v2
GO:0048619,embryonic hindgut morphogenesis,2,1,0.03,0.02836,BP,1,2.1104313762416043,-0,160,,2.1788738534650185,2.044604466170066,SRR6998058_v2
GO:1902425,positive regulation of attachment of mit...,2,1,0.03,0.02836,BP,1,2.1077170268939134,-0,161,,2.1759404022724724,2.0420932063045667,SRR6998058_v2
GO:0021523,somatic motor neuron differentiation,2,1,0.03,0.02836,BP,1,2.1050195369676827,-0,162,,2.1730258679103915,2.0395969464039436,SRR6998058_v2
